dataset;BPRMF-AUC;BPRMF-MAP;BPRMF-MRR;BPRMF-NDCG;MostPopular-AUC;MostPopular-MAP;MostPopular-MRR;MostPopular-NDCG;SoftMarginRankingMF-AUC;SoftMarginRankingMF-MAP;SoftMarginRankingMF-MRR;SoftMarginRankingMF-NDCG;WRMF-AUC;WRMF-MAP;WRMF-MRR;WRMF-NDCG;WeightedBPRMF-AUC;WeightedBPRMF-MAP;WeightedBPRMF-MRR;WeightedBPRMF-NDCG;
yelp.csv;0.6826128;0.01538192;0.01876;0.1332499;0.6942115;0.01706302;0.02166087;0.135786;0.6166097;0.006413883;0.008079281;0.1162917;0.7654796;0.02495635;0.03363615;0.1520319;0.6827782;0.01252156;0.01785683;0.1300362;
movietweetings_recsys2014.csv;0.7538809;0.1023345;0.1413708;0.2812634;0.7631797;0.1045139;0.1443781;0.2837539;0.6753894;0.06257317;0.0889729;0.2347481;;;;;0.6021395;0.06540591;0.0961545;0.2326681;
amazon-apps.csv;0.8220181;0.04058468;0.04338494;0.1703056;0.8250216;0.04124935;0.04403193;0.1712756;0.7524828;0.01997715;0.02155659;0.1401513;0.6797436;0.03269629;0.03649383;0.1500996;0.3570434;0.007367034;0.008732311;0.1066559;
amazon-cd.csv;0.6584076;0.009782747;0.01069292;0.1167828;0.6658875;0.01022445;0.01140317;0.1178282;0.5862448;0.003647981;0.004018207;0.1038209;0.6033662;0.01005708;0.0129088;0.1143869;0.5132164;0.005505709;0.007412949;0.1050404;
amazon-food.csv;0.6977413;0.04071052;0.04172542;0.1657594;0.7034656;0.04129443;0.04234288;0.1667985;0.6292895;0.01519558;0.01574406;0.13332;0.5699835;0.0246121;0.02814753;0.1409743;0.4168521;0.008406965;0.01014533;0.1168607;
amazon-tools.csv;0.6664892;0.01989922;0.02050134;0.1330967;0.6741262;0.02021534;0.02081452;0.1338557;0.5878618;0.006385985;0.006535857;0.1121208;0.5451365;0.01074877;0.01130503;0.1152869;0.3777924;0.002939055;0.003087542;0.09993098;
yahoo-music.csv;0.7798995;0.08620447;0.1816911;0.318839;0.7743513;0.09250517;0.2162839;0.3273742;0.6613569;0.03805341;0.07475249;0.2526748;0.8902618;0.2340318;0.4256818;0.4718689;0.8576476;0.1577612;0.3000385;0.3984668;
amazon-office.csv;0.6793629;0.02313749;0.02352287;0.1404716;0.6841157;0.02343489;0.02379734;0.1410732;0.6002878;0.009287274;0.009422801;0.1192647;0.5324401;0.01053309;0.01117691;0.1172237;0.3769228;0.003521167;0.003679035;0.103806;
bookcrossing.csv;0.5877513;0.07903512;0.08232413;0.2336365;0.6040083;0.0811298;0.0867334;0.2373399;0.5384378;0.04776252;0.05016541;0.2033869;0.5752398;0.06673388;0.07447498;0.2233493;0.5071647;0.04161512;0.04428092;0.196225;
amazon-health.csv;0.7025629;0.022206;0.0227388;0.1309261;0.7086276;0.02257795;0.02312364;0.1316672;0.6235761;0.006304813;0.006486475;0.1075043;0.5608957;0.01149411;0.0124035;0.1096197;0.3669846;0.003324719;0.00367282;0.09403293;
