dataset;BiasedMatrixFactorization-MAE;BiasedMatrixFactorization-NMAE;BiasedMatrixFactorization-RMSE;GlobalAverage-MAE;GlobalAverage-NMAE;GlobalAverage-RMSE;LatentFeatureLogLinearModel-MAE;LatentFeatureLogLinearModel-NMAE;LatentFeatureLogLinearModel-RMSE;MatrixFactorization-MAE;MatrixFactorization-NMAE;MatrixFactorization-RMSE;SVDPlusPlus-MAE;SVDPlusPlus-NMAE;SVDPlusPlus-RMSE;SigmoidCombinedAsymmetricFactorModel-MAE;SigmoidCombinedAsymmetricFactorModel-NMAE;SigmoidCombinedAsymmetricFactorModel-RMSE;SigmoidItemAsymmetricFactorModel-MAE;SigmoidItemAsymmetricFactorModel-NMAE;SigmoidItemAsymmetricFactorModel-RMSE;SigmoidUserAsymmetricFactorModel-MAE;SigmoidUserAsymmetricFactorModel-NMAE;SigmoidUserAsymmetricFactorModel-RMSE;UserItemBaseline-MAE;UserItemBaseline-NMAE;UserItemBaseline-RMSE;
yelp.csv;11.10498;0.2266323;20.38721;1.191924;0.02432499;1.634792;104.4483;2.131599;136.1783;1.267199;0.02586121;1.716426;1.142966;0.02332584;1.576418;1.125365;0.02296663;1.567251;1.126032;0.02298023;1.570604;1.12691;0.02299816;1.568951;1.191924;0.02432499;1.634792;
movietweetings_recsys2014.csv;0.727686;0.04280506;1.013894;0.6798028;0.0399884;1.007185;5.477708;0.3222181;8.182617;0.7190405;0.04229651;1.033331;0.6392606;0.03760357;0.9170468;0.6186672;0.03639219;0.8820187;0.6213902;0.03655237;0.8862227;0.620304;0.03648848;0.8843644;0.6798028;0.0399884;1.007185;
amazon-apps.csv;1.012845;0.1125383;1.325544;1.063976;0.1182195;1.3574;1.268953;0.1409948;1.875589;1.112016;0.1235573;1.413554;0.9749187;0.1083243;1.265329;0.9432151;0.1048017;1.233817;0.9438245;0.1048694;1.235034;0.9460998;0.1051222;1.237399;1.063976;0.1182195;1.3574;
amazon-cd.csv;7.422713;0.09766727;20.23962;0.8231696;0.01083118;1.149222;55.62423;0.7318977;67.28633;0.8332947;0.0109644;1.174151;0.7746592;0.01019288;1.106399;0.7372968;0.009701273;1.099852;0.7395787;0.009731299;1.100957;0.7395579;0.009731025;1.100598;0.8231696;0.01083118;1.149222;
amazon-food.csv;1.073832;0.02902248;1.614614;1.001214;0.02705985;1.330367;67.7783;1.831846;77.01699;1.005679;0.02718053;1.338773;0.9645205;0.02606812;1.303494;0.9218192;0.02491404;1.289386;0.9232089;0.02495159;1.291054;0.9235188;0.02495996;1.290067;1.001214;0.02705985;1.330367;
amazon-tools.csv;1.005681;0.05293059;1.321458;1.033253;0.05438177;1.313124;21.09373;1.110196;23.49383;1.035294;0.05448915;1.316837;0.9999723;0.05263013;1.281016;0.9537767;0.05019877;1.256867;0.955489;0.0502889;1.257259;0.9558892;0.05030996;1.257621;1.033253;0.05438177;1.313124;
yahoo-music.csv;0.9101416;0.2275354;1.235098;1.478234;0.3695585;1.635409;1.065795;0.2664488;1.349164;0.9880247;0.2470062;1.341486;1.00779;0.2519476;1.254536;0.9798287;0.2449572;1.21378;1.065615;0.2664038;1.275357;0.9847257;0.2461814;1.229033;1.478234;0.3695585;1.635409;
amazon-office.csv;1.099738;0.07855274;1.396378;1.150042;0.08214584;1.434065;9.379381;0.6699558;10.71859;1.156272;0.08259088;1.438977;1.115999;0.07971419;1.387815;1.073559;0.07668275;1.35631;1.0748;0.07677146;1.356697;1.076611;0.07690081;1.358443;1.150042;0.08214584;1.434065;
bookcrossing.csv;0.6049441;0.151236;0.7475207;0.7026141;0.1756535;0.8193127;1.812179;0.4530447;2.319087;0.7021352;0.1755338;0.8213947;0.6244519;0.156113;0.7632409;0.6565992;0.1641498;0.7793947;0.6611761;0.165294;0.7830424;0.6567007;0.1641752;0.7795002;0.7026141;0.1756535;0.8193127;
amazon-health.csv;1.014407;0.2536017;1.275388;1.067139;0.2667847;1.334795;2.309342;0.5773355;2.737892;1.070653;0.2676633;1.341301;1.026767;0.2566919;1.298871;1.041591;0.2603978;1.309113;1.04204;0.2605099;1.309469;1.043086;0.2607715;1.311326;1.067139;0.2667847;1.334795;
