dataset;ranking;levels;performance
amazon-apps.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,3,4;0.53231975,0.530893,0.4947996,0.43473315,0.24061774
amazon-automotive.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,3,4;0.42465905,0.42049195,0.374781895,0.338944125,0.20173847
amazon-baby.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,3,4;0.4616139,0.4583218,0.4146889,0.37862335,0.197887575
amazon-beauty.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF;1,2,3,4;0.435333,0.43180935,0.388554455,0.208545685
amazon-cd.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,3,4;0.42864936,0.4264673,0.38775811,0.37913748,0.321965095
amazon-clothes.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,3,4;0.425371685,0.422259435,0.3794275,0.343999865,0.187895135
amazon-digital-music.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,3,4;0.44878785,0.44636965,0.3970187,0.3619079,0.24379829
amazon-food.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,3,4;0.4410362,0.43707095,0.392390715,0.35226057,0.220906915
amazon-games.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,4,5;0.47733855,0.47475525,0.4310674,0.36247185,0.224090425
amazon-garden.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,4,5;0.4436473,0.4408937,0.39641997,0.335260725,0.18560003
amazon-health.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,4,5;0.453723,0.4512023,0.409073325,0.35131426,0.191269335
amazon-home.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,4,5;0.451817575,0.449339935,0.408593555,0.36106062,0.17816027
amazon-instant-video.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,4,5;0.53686715,0.53506295,0.48806605,0.3735462,0.17140281
amazon-instruments.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,4,5;0.4497951,0.44602175,0.39824465,0.34760995,0.19567565
amazon-kindle.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF;1,2,3,4;0.43391885,0.4323319,0.3909853,0.324598325
amazon-movies.csv;MostPopular,WeightedBPRMF,WRMF,BPRMF,SoftMarginRankingMF;1,1,1,2,3;0.4834948,0.31900185,0.41900875,0.48204675,0.44109625
amazon-office.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,4,5;0.45065405,0.4476807,0.403449875,0.333146735,0.184180455
amazon-pet-supplies.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF;1,2,3,4;0.46235015,0.45953925,0.41721,0.20161281
amazon-phones.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,3,4;0.4715964,0.46979565,0.427362365,0.362651635,0.1690699
amazon-sports.csv;MostPopular,BPRMF,SoftMarginRankingMF,WeightedBPRMF;1,2,3,4;0.435279055,0.431743285,0.38844493,0.20253767
amazon-tools.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,4,5;0.43792085,0.43470955,0.39133187,0.345618875,0.18957512
amazon-toys.csv;MostPopular,BPRMF,SoftMarginRankingMF,WRMF,WeightedBPRMF;1,2,3,4,5;0.43013635,0.42671025,0.383027995,0.345891845,0.207812485
bookcrossing.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF;1,2,3,4,4;0.4239332,0.41710655,0.4099028,0.37199885,0.3533747
flixter.csv;BPRMF,MostPopular,WRMF,SoftMarginRankingMF,WeightedBPRMF;1,1,1,2,2;0.6245459,0.6258731,0.64124005,0.597554,0.6102998
jester1.csv;MostPopular,WRMF,BPRMF,SoftMarginRankingMF;1,2,3,4;0.96726405,0.964315,0.9458752,0.87843135
jester2.csv;MostPopular,WRMF,BPRMF,SoftMarginRankingMF;1,2,3,4;0.9685295,0.96574855,0.94767795,0.8838221
jester3.csv;MostPopular,BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF;1,2,3,4,5;0.8786191,0.8690769,0.86130945,0.80363475,0.4207726
movielens100k.csv;WRMF,BPRMF,WeightedBPRMF,SoftMarginRankingMF,MostPopular;1,2,3,4,5;0.72108025,0.7033146,0.64952015,0.6423276,0.5958509
movielens10m.csv;WRMF,BPRMF,MostPopular,WeightedBPRMF,SoftMarginRankingMF;1,2,3,3,4;0.7138385,0.6566504,0.6462104,0.6441282,0.6150059
movielens1m.csv;BPRMF,WRMF,SoftMarginRankingMF,WeightedBPRMF,MostPopular;1,1,2,2,3;0.68572215,0.69045835,0.62641455,0.6232908,0.6059458
movielens20m.csv;WRMF,BPRMF,MostPopular,SoftMarginRankingMF,WeightedBPRMF;1,2,2,3,3;0.70347865,0.64665525,0.64581915,0.6068352,0.6312165
movielens_latest.csv;BPRMF,MostPopular,WRMF,SoftMarginRankingMF,WeightedBPRMF;1,1,1,2,2;0.61713855,0.6187303,0.6616591,0.5805385,0.60504575
movietweetings_latest.csv;MostPopular,WRMF,BPRMF,SoftMarginRankingMF,WeightedBPRMF;1,1,2,3,3;0.54445185,0.52726565,0.54020165,0.4961045,0.4820542
