dataset;ranking;value
amazon-apps.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-automotive.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-baby.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-beauty.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-cd.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-clothes.csv;BiasedMatrixFactorization;5
amazon-digital-music.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-food.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-games.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-garden.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-health.csv;BiasedMatrixFactorization;5
amazon-home.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-instant-video.csv;SigmoidItemAsymmetricFactorModel;5
amazon-instruments.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-kindle.csv;BiasedMatrixFactorization;5
amazon-movies.csv;BiasedMatrixFactorization;5
amazon-office.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-pet-supplies.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-phones.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-sports.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-tools.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-toys.csv;SigmoidCombinedAsymmetricFactorModel;5
bookcrossing.csv;BiasedMatrixFactorization;5
flixter.csv;BiasedMatrixFactorization;5
jester1.csv;MatrixFactorization;5
jester2.csv;MatrixFactorization;5
jester3.csv;LatentFeatureLogLinearModel;5
movielens100k.csv;SigmoidCombinedAsymmetricFactorModel;5
movielens10m.csv;BiasedMatrixFactorization;5
movielens1m.csv;BiasedMatrixFactorization;5
movielens20m.csv;BiasedMatrixFactorization;5
movielens_latest.csv;BiasedMatrixFactorization;5
movietweetings_latest.csv;BiasedMatrixFactorization;5
movietweetings_recsys2014.csv;SigmoidCombinedAsymmetricFactorModel;5
tripadvisor.csv;BiasedMatrixFactorization;5
yahoo-movies.csv;BiasedMatrixFactorization;5
yahoo-music.csv;BiasedMatrixFactorization;5
yelp.csv;SigmoidCombinedAsymmetricFactorModel;5
amazon-apps.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-automotive.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-baby.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-beauty.csv;SigmoidUserAsymmetricFactorModel;4.5
amazon-cd.csv;SigmoidUserAsymmetricFactorModel;4.5
amazon-clothes.csv;SVDPlusPlus;4.5
amazon-digital-music.csv;SigmoidUserAsymmetricFactorModel;4.5
amazon-food.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-games.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-garden.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-health.csv;SVDPlusPlus;4.5
amazon-home.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-instant-video.csv;SigmoidUserAsymmetricFactorModel;4.5
amazon-instruments.csv;SigmoidUserAsymmetricFactorModel;4.5
amazon-kindle.csv;SVDPlusPlus;4.5
amazon-movies.csv;SigmoidUserAsymmetricFactorModel;4.5
amazon-office.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-pet-supplies.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-phones.csv;SigmoidUserAsymmetricFactorModel;4.5
amazon-sports.csv;SigmoidUserAsymmetricFactorModel;4.5
amazon-tools.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-toys.csv;SigmoidItemAsymmetricFactorModel;4.5
bookcrossing.csv;SVDPlusPlus;4.5
flixter.csv;MatrixFactorization;4.5
jester1.csv;BiasedMatrixFactorization;4.5
jester2.csv;BiasedMatrixFactorization;4.5
jester3.csv;BiasedMatrixFactorization;4.5
movielens100k.csv;BiasedMatrixFactorization;4.5
movielens10m.csv;MatrixFactorization;4.5
movielens1m.csv;SigmoidUserAsymmetricFactorModel;4.5
movielens20m.csv;MatrixFactorization;4.5
movielens_latest.csv;MatrixFactorization;4.5
movietweetings_latest.csv;SVDPlusPlus;4.5
movietweetings_recsys2014.csv;SigmoidUserAsymmetricFactorModel;4.5
tripadvisor.csv;MatrixFactorization;4.5
yahoo-movies.csv;SVDPlusPlus;4.5
yahoo-music.csv;SigmoidCombinedAsymmetricFactorModel;4.5
yelp.csv;SigmoidItemAsymmetricFactorModel;4.5
amazon-apps.csv;SigmoidUserAsymmetricFactorModel;4
amazon-automotive.csv;SigmoidUserAsymmetricFactorModel;4
amazon-baby.csv;SigmoidUserAsymmetricFactorModel;4
amazon-beauty.csv;SigmoidItemAsymmetricFactorModel;4
amazon-cd.csv;SigmoidItemAsymmetricFactorModel;4
amazon-clothes.csv;SigmoidCombinedAsymmetricFactorModel;4
amazon-digital-music.csv;SigmoidItemAsymmetricFactorModel;4
amazon-food.csv;SigmoidUserAsymmetricFactorModel;4
amazon-games.csv;SigmoidUserAsymmetricFactorModel;4
amazon-garden.csv;SigmoidUserAsymmetricFactorModel;4
amazon-health.csv;SigmoidCombinedAsymmetricFactorModel;4
amazon-home.csv;SigmoidUserAsymmetricFactorModel;4
amazon-instant-video.csv;SigmoidCombinedAsymmetricFactorModel;4
amazon-instruments.csv;SigmoidItemAsymmetricFactorModel;4
amazon-kindle.csv;SigmoidCombinedAsymmetricFactorModel;4
amazon-movies.csv;SigmoidCombinedAsymmetricFactorModel;4
amazon-office.csv;SigmoidUserAsymmetricFactorModel;4
amazon-pet-supplies.csv;SigmoidUserAsymmetricFactorModel;4
amazon-phones.csv;SigmoidItemAsymmetricFactorModel;4
amazon-sports.csv;SigmoidItemAsymmetricFactorModel;4
amazon-tools.csv;SigmoidUserAsymmetricFactorModel;4
amazon-toys.csv;SigmoidUserAsymmetricFactorModel;4
bookcrossing.csv;SigmoidCombinedAsymmetricFactorModel;4
flixter.csv;SigmoidUserAsymmetricFactorModel;4
jester1.csv;LatentFeatureLogLinearModel;4
jester2.csv;LatentFeatureLogLinearModel;4
jester3.csv;SigmoidUserAsymmetricFactorModel;4
movielens100k.csv;LatentFeatureLogLinearModel;4
movielens10m.csv;SVDPlusPlus;4
movielens1m.csv;SigmoidCombinedAsymmetricFactorModel;4
movielens20m.csv;SVDPlusPlus;4
movielens_latest.csv;SVDPlusPlus;4
movietweetings_latest.csv;SigmoidCombinedAsymmetricFactorModel;4
movietweetings_recsys2014.csv;SigmoidItemAsymmetricFactorModel;4
tripadvisor.csv;SigmoidUserAsymmetricFactorModel;4
