dataset;ranking;levels;performance
amazon-apps.csv;BMF,SVD++,SIAFM,SCAFM,SUAFM,LFLLM,GA,UIB,MF;1,2,3,4,5,6,7,7,8;0.73050825,0.7315796,0.73768045,0.73796555,0.73999525,0.7922389,0.80953855,0.80953855,0.8449216
amazon-automotive.csv;BMF,SVD++,SCAFM,SIAFM,SUAFM,GA,UIB,MF,LFLLM;1,2,3,4,5,6,6,7,8;0,0.0166072177817149,0.0282497110592662,0.028266831648382,0.0304496451757907,0.055339717752924,0.055339717752924,0.0614404364543161,1
amazon-baby.csv;BMF,SVD++,SIAFM,SCAFM,SUAFM,GA,UIB,MF,LFLLM;1,2,3,4,5,6,6,7,8;0,0.0130455316195786,0.0353020435531183,0.0360280592759233,0.0417860450503625,0.160423680169351,0.160423680169351,0.214511271865065,1
amazon-beauty.csv;BMF,SVD++,SCAFM,SIAFM,SUAFM,GA,UIB,MF,LFLLM;1,2,3,4,5,6,6,7,8;0,0.011324023961064,0.0250293736402144,0.0253792331446861,0.0281354546954194,0.0733588524608253,0.0733588524608253,0.092989188293495,1
amazon-cd.csv;BMF,SVD++,SCAFM,SIAFM,SUAFM,MF,GA,UIB,LFLLM;1,2,3,4,5,6,7,7,8;0,0.013778848394585,0.0369929977984243,0.0388572082861572,0.0396874650066465,0.0813277482960235,0.0918886373197202,0.0918886373197202,1
amazon-clothes.csv;BMF,SVD++,SCAFM,SIAFM,SUAFM,GA,UIB,MF,LFLLM;1,2,3,4,5,6,6,7,8;0,0.0127029712447493,0.0228422110895074,0.0229035039864607,0.0245329407847487,0.0531592194206434,0.0531592194206434,0.0673704363584472,1
amazon-digital-music.csv;BMF,SVD++,SCAFM,SIAFM,SUAFM,MF,GA,UIB,LFLLM;1,2,3,4,5,6,7,7,8;0,0.00719689794488667,0.0184182769221976,0.0191198788167681,0.0197130059056752,0.0346426015931201,0.0388579544553079,0.0388579544553079,1
amazon-food.csv;BMF,SVD++,SCAFM,SIAFM,SUAFM,GA,UIB,MF,LFLLM;1,2,3,4,5,6,6,7,8;0,0.0113479405232943,0.0285271726552795,0.0286531160546412,0.0313971974270254,0.0729895087162931,0.0729895087162931,0.0849065683842014,1
amazon-games.csv;BMF,SVD++,SIAFM,SCAFM,SUAFM,GA,UIB,MF,LFLLM;1,2,3,4,5,6,6,7,8;0.7477782,0.75491195,0.76134065,0.76143725,0.76361635,0.8272828,0.8272828,0.84518545,0.92104975
amazon-garden.csv;BMF,SVD++,SIAFM,SCAFM,SUAFM,GA,UIB,MF,LFLLM;1,2,3,4,5,6,6,7,8;0,0.0330517230249622,0.050325397650947,0.0503665371274857,0.0574066276031169,0.155011875261093,0.155011875261093,0.175204334428491,1
